survey_year,country,industry,company_size,num_employees,annual_revenue_usd_millions,ai_adoption_rate,ai_maturity_score,years_using_ai,ai_budget_percentage,productivity_change_percent,task_automation_rate,time_saved_per_week,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,employee_satisfaction_score,customer_satisfaction
2026,Italy,Education,Startup,57,48.31,40.09,0.233,6,9.65,0.0,11.63,3.92,1,2,2,4.41,3.61,5.3,4.21
2026,Italy,Education,Startup,57,48.31,34.98,0.263,6,9.42,2.41,15.38,7.18,3,3,4,6.93,7.45,5.84,6.33
2023,UK,Finance,Startup,18,14.66,48.52,0.357,3,9.42,11.17,18.75,5.03,1,1,0,7.26,7.16,5.32,4.32
2023,UK,Finance,Startup,18,14.66,32.85,0.429,5,10.09,13.12,0.0,0.0,1,1,1,7.98,0.56,5.62,4.74
2023,UK,Finance,Startup,18,14.66,49.04,0.486,7,7.78,17.96,22.35,7.08,1,1,2,5.06,6.84,7.35,6.59
2023,UK,Finance,Startup,18,14.66,35.17,0.391,6,9.28,13.08,28.09,8.03,1,1,2,0.42,4.73,3.7,7.03
2024,UK,Finance,Startup,18,14.66,40.51,0.351,8,6.19,7.84,14.64,5.04,0,1,2,5.43,6.11,5.3,3.65
2024,UK,Finance,Startup,18,14.66,43.98,0.394,3,12.42,12.64,24.31,6.18,0,1,2,13.82,5.51,4.46,5.88
2024,UK,Finance,Startup,18,14.66,35.93,0.178,2,6.52,0.0,10.17,2.9,0,1,0,5.53,3.67,4.84,4.64
2024,UK,Finance,Startup,18,14.66,59.32,0.424,5,10.69,13.85,28.98,8.32,1,1,2,4.79,5.9,6.22,5.23
2025,UK,Finance,Startup,18,14.66,61.6,0.417,3,9.63,3.76,22.51,8.54,1,1,3,1.43,6.72,5.55,5.8
2025,UK,Finance,Startup,18,14.66,50.94,0.465,6,13.16,13.61,32.65,11.07,1,1,2,0.88,10.25,4.14,5.95
2025,UK,Finance,Startup,18,14.66,73.84,0.558,4,15.04,10.13,32.91,7.05,1,1,2,3.22,4.9,6.77,3.22
2025,UK,Finance,Startup,18,14.66,54.07,0.488,9,11.07,12.7,19.25,5.02,1,1,1,8.15,4.13,5.49,5.06
2026,UK,Finance,Startup,18,14.66,52.05,0.402,4,12.92,15.8,20.16,7.83,1,1,1,-0.78,5.7,5.43,5.79
2026,UK,Finance,Startup,18,14.66,41.22,0.377,3,4.35,5.83,19.31,5.62,1,1,1,4.04,4.81,5.81,5.03
2026,UK,Finance,Startup,18,14.66,56.27,0.458,6,11.47,12.11,23.28,8.06,1,1,1,14.29,8.7,7.14,6.26
2023,Germany,Education,Enterprise,16151,8543.28,27.99,0.316,5,7.54,9.76,9.4,2.22,63,554,703,9.16,3.58,4.6,5.0
2023,Germany,Education,Enterprise,16151,8543.28,26.39,0.239,5,7.97,10.7,21.8,3.86,902,584,1519,4.51,6.48,4.73,5.15
2023,Germany,Education,Enterprise,16151,8543.28,44.48,0.408,3,11.28,4.46,23.4,9.38,694,999,1456,6.75,10.1,6.03,4.35
2023,Germany,Education,Enterprise,16151,8543.28,48.26,0.513,2,14.21,15.94,21.71,5.93,583,975,1548,9.48,7.01,6.62,5.86
2024,Germany,Education,Enterprise,16151,8543.28,32.11,0.293,2,10.31,5.39,10.61,4.16,399,492,206,-5.0,0.0,5.5,5.81
2024,Germany,Education,Enterprise,16151,8543.28,44.13,0.415,2,12.04,12.78,16.9,4.66,359,908,876,-2.67,1.31,5.67,6.82
2025,Germany,Education,Enterprise,16151,8543.28,50.67,0.521,6,12.42,19.01,26.25,8.61,706,1063,1407,12.61,9.79,5.48,7.65
2025,Germany,Education,Enterprise,16151,8543.28,26.8,0.385,8,11.46,7.7,11.64,7.47,228,532,1147,-2.28,2.5,6.32,5.93
2025,Germany,Education,Enterprise,16151,8543.28,41.26,0.423,5,5.7,16.44,21.39,6.62,646,783,843,11.13,2.44,4.98,4.79
2025,Germany,Education,Enterprise,16151,8543.28,38.25,0.542,6,14.88,15.82,12.73,4.52,465,614,1084,12.5,9.4,6.11,5.13
2026,Germany,Education,Enterprise,16151,8543.28,39.94,0.422,8,9.44,8.14,18.83,8.95,315,978,1034,4.25,7.31,4.25,6.12
2026,Germany,Education,Enterprise,16151,8543.28,53.46,0.469,3,9.43,14.93,25.38,8.44,1012,924,2505,2.28,4.89,7.1,7.13
2026,Germany,Education,Enterprise,16151,8543.28,41.39,0.397,4,13.08,4.5,23.78,6.02,737,782,1216,-3.75,12.16,5.82,4.4
2026,Germany,Education,Enterprise,16151,8543.28,37.33,0.356,7,10.34,12.82,30.68,9.4,1232,705,956,7.29,15.23,3.72,5.11
2023,Germany,Manufacturing,Startup,33,42.7,44.2,0.346,3,4.95,3.79,15.82,4.7,1,2,4,-0.46,3.88,7.14,5.25
2023,Germany,Manufacturing,Startup,33,42.7,39.22,0.365,6,8.26,11.56,29.66,8.41,2,2,0,-3.29,7.98,5.16,4.32
2023,Germany,Manufacturing,Startup,33,42.7,25.69,0.262,5,2.55,6.46,12.91,5.8,1,0,2,4.92,8.31,4.71,5.97
2023,Germany,Manufacturing,Startup,33,42.7,35.7,0.316,5,8.75,9.44,21.37,6.49,2,1,2,10.36,3.67,5.48,5.82
2024,Germany,Manufacturing,Startup,33,42.7,33.78,0.283,4,5.76,5.19,20.72,3.25,1,2,2,4.8,4.7,5.09,5.82
2024,Germany,Manufacturing,Startup,33,42.7,13.37,0.122,8,4.94,0.85,11.61,6.54,0,0,0,-3.16,0.54,5.89,4.72
2024,Germany,Manufacturing,Startup,33,42.7,40.6,0.513,4,10.64,16.85,19.84,6.66,1,2,3,15.62,2.84,6.95,4.17
2025,Germany,Manufacturing,Startup,33,42.7,44.32,0.343,6,8.14,16.17,25.19,9.92,2,2,2,1.59,13.02,6.78,5.37
2025,Germany,Manufacturing,Startup,33,42.7,25.01,0.232,3,5.0,7.24,14.12,3.98,1,1,3,5.13,2.45,5.69,4.34
2025,Germany,Manufacturing,Startup,33,42.7,35.64,0.338,7,8.19,8.97,17.7,4.85,2,1,2,6.61,1.44,5.6,5.08
2025,Germany,Manufacturing,Startup,33,42.7,23.25,0.215,9,4.95,6.46,19.71,5.2,1,1,1,-5.0,1.35,4.65,6.51
2026,Germany,Manufacturing,Startup,33,42.7,42.42,0.359,5,8.31,7.86,31.63,12.08,2,2,3,3.29,4.74,5.05,5.41
2026,Germany,Manufacturing,Startup,33,42.7,46.68,0.374,3,13.05,12.06,27.02,4.91,2,2,2,7.12,4.96,3.75,6.04
2026,Germany,Manufacturing,Startup,33,42.7,46.26,0.35,3,12.9,14.77,30.85,9.81,2,2,3,4.33,12.15,4.64,5.48
2023,USA,Finance,SME,519,454.35,13.69,0.239,3,7.0,0.0,13.91,5.3,9,7,42,0.28,0.0,5.7,5.71
2023,USA,Finance,SME,519,454.35,8.47,0.134,0,3.24,0.0,6.55,0.0,16,8,13,-5.0,1.43,4.75,6.69
2023,USA,Finance,SME,519,454.35,11.99,0.094,6,7.08,0.0,11.38,3.52,14,11,7,6.08,0.28,3.61,4.3
2024,USA,Finance,SME,519,454.35,28.26,0.24,6,5.23,4.68,11.4,5.82,7,14,21,6.55,1.22,4.78,4.35
2024,USA,Finance,SME,519,454.35,17.27,0.195,3,3.57,3.73,8.71,3.35,5,3,12,0.76,0.0,5.16,4.65
2024,USA,Finance,SME,519,454.35,40.49,0.361,6,9.8,12.08,16.92,3.54,18,16,42,10.33,2.52,5.12,5.66
2024,USA,Finance,SME,519,454.35,29.13,0.329,8,8.22,7.62,10.75,4.42,5,17,43,6.22,6.34,4.9,5.6
2025,USA,Finance,SME,519,454.35,25.8,0.391,6,6.18,14.87,28.57,11.6,31,12,22,8.44,7.16,6.33,6.62
2025,USA,Finance,SME,519,454.35,34.88,0.376,7,12.07,19.07,19.26,8.17,22,24,26,5.55,4.23,5.35,7.03
2025,USA,Finance,SME,519,454.35,27.25,0.292,6,6.42,10.51,17.81,4.26,17,22,17,0.61,1.63,6.05,5.55
2026,USA,Finance,SME,519,454.35,25.24,0.274,5,8.25,5.46,16.86,3.8,20,22,8,-5.0,4.08,5.85,5.6
2026,USA,Finance,SME,519,454.35,40.26,0.412,10,14.02,10.07,18.59,7.89,22,27,41,-2.81,0.0,6.47,5.8
2026,USA,Finance,SME,519,454.35,17.84,0.182,3,7.51,7.45,15.36,5.2,23,11,22,3.91,0.88,6.04,5.27
2026,USA,Finance,SME,519,454.35,26.04,0.244,6,9.36,13.92,10.58,1.21,11,20,26,15.64,1.12,6.06,7.87
2023,Chile,Manufacturing,SME,572,348.58,24.42,0.268,4,5.99,5.13,17.06,3.52,36,23,32,4.08,0.0,4.81,5.77
2023,Chile,Manufacturing,SME,572,348.58,36.98,0.273,3,10.63,14.88,23.31,7.08,30,18,41,7.4,2.1,5.04,5.78
2023,Chile,Manufacturing,SME,572,348.58,45.23,0.36,5,8.89,13.51,23.53,5.91,31,29,24,6.94,4.31,6.19,6.95
2023,Chile,Manufacturing,SME,572,348.58,28.73,0.134,3,5.12,0.19,18.72,7.11,17,17,27,1.84,7.3,6.73,5.19
2024,Chile,Manufacturing,SME,572,348.58,47.46,0.489,3,15.08,9.42,32.6,9.1,48,27,52,11.0,7.25,6.54,4.03
2024,Chile,Manufacturing,SME,572,348.58,43.94,0.365,2,7.02,8.65,35.42,7.97,36,26,34,0.56,0.0,4.36,5.67
2024,Chile,Manufacturing,SME,572,348.58,66.26,0.534,5,11.75,13.6,42.11,12.93,51,38,54,13.19,11.72,6.18,6.79
2024,Chile,Manufacturing,SME,572,348.58,42.9,0.438,6,13.19,23.04,32.07,9.38,49,30,36,13.17,3.41,5.6,6.57
2025,Chile,Manufacturing,SME,572,348.58,40.11,0.407,6,9.33,12.37,17.93,6.76,16,30,71,3.6,0.65,5.15,4.6
2025,Chile,Manufacturing,SME,572,348.58,42.65,0.303,2,10.08,11.21,31.09,7.92,41,29,8,7.55,9.36,6.07,4.46
2025,Chile,Manufacturing,SME,572,348.58,44.02,0.374,4,10.04,13.95,21.13,5.84,30,29,26,12.22,12.98,6.85,7.09
2025,Chile,Manufacturing,SME,572,348.58,41.56,0.351,4,8.09,8.71,13.14,6.44,26,31,26,2.27,1.57,3.84,4.87
2026,Chile,Manufacturing,SME,572,348.58,48.65,0.338,4,12.5,9.85,25.25,5.98,22,31,48,15.01,6.02,4.13,5.43
2026,Chile,Manufacturing,SME,572,348.58,59.63,0.402,2,11.06,8.0,25.21,7.81,39,42,59,4.05,4.87,4.91,3.09
2026,Chile,Manufacturing,SME,572,348.58,43.11,0.298,5,8.01,11.56,13.91,5.1,17,22,47,2.12,0.0,5.09,6.09
2026,Chile,Manufacturing,SME,572,348.58,59.94,0.623,5,15.05,18.35,30.48,14.17,35,40,84,8.5,8.29,5.26,7.64
2023,Philippines,Manufacturing,Startup,27,8.88,0.0,0.033,0,0.0,0.0,9.75,1.7,1,0,1,1.34,2.85,5.88,4.77
2023,Philippines,Manufacturing,Startup,27,8.88,0.0,0.089,0,4.18,0.0,7.48,4.43,0,1,0,2.4,6.06,5.59,2.75
2023,Philippines,Manufacturing,Startup,27,8.88,0.0,0.027,0,0.0,0.0,0.0,1.0,0,0,0,6.86,3.92,5.96,4.09
2023,Philippines,Manufacturing,Startup,27,8.88,13.41,0.24,7,4.53,4.19,6.1,1.18,0,0,1,7.4,1.69,6.75,3.8
2024,Philippines,Manufacturing,Startup,27,8.88,7.83,0.159,0,10.62,0.82,5.05,3.57,0,0,1,4.74,1.99,4.79,4.63
2024,Philippines,Manufacturing,Startup,27,8.88,12.77,0.102,5,4.21,5.65,13.0,0.87,1,1,0,-0.24,0.0,6.98,4.84
2024,Philippines,Manufacturing,Startup,27,8.88,4.3,0.142,0,1.57,1.3,9.8,2.39,0,0,0,-1.66,1.9,5.42,4.95
2024,Philippines,Manufacturing,Startup,27,8.88,6.11,0.083,0,2.49,10.49,13.63,4.58,1,0,0,7.2,0.0,6.17,5.45
2025,Philippines,Manufacturing,Startup,27,8.88,30.59,0.344,5,9.88,9.32,18.84,6.0,1,1,1,-4.74,4.79,5.06,4.75
2025,Philippines,Manufacturing,Startup,27,8.88,8.91,0.159,0,5.66,2.09,16.48,3.49,1,0,1,-1.03,2.07,5.66,4.58
2025,Philippines,Manufacturing,Startup,27,8.88,10.34,0.217,6,6.25,1.74,14.99,2.06,1,0,1,12.97,0.7,5.07,4.93
2025,Philippines,Manufacturing,Startup,27,8.88,1.36,0.171,0,6.07,4.47,7.64,2.64,0,0,1,0.82,2.68,5.24,5.06
2026,Philippines,Manufacturing,Startup,27,8.88,18.52,0.153,8,5.31,5.47,16.8,3.14,2,0,2,-1.85,5.54,4.95,6.39
2026,Philippines,Manufacturing,Startup,27,8.88,27.22,0.272,10,3.96,5.91,20.13,6.93,1,0,1,-2.35,0.87,6.77,4.91
2026,Philippines,Manufacturing,Startup,27,8.88,0.05,0.117,0,5.03,0.0,0.42,1.02,0,0,0,-5.0,1.25,5.46,3.13
2026,Philippines,Manufacturing,Startup,27,8.88,16.52,0.083,9,6.22,0.0,5.76,2.96,0,1,0,10.06,0.0,6.23,4.32
2023,South Africa,Healthcare,Enterprise,18340,2630.56,22.1,0.253,1,6.49,8.57,36.4,11.15,1544,419,674,7.99,6.79,5.36,5.06
2023,South Africa,Healthcare,Enterprise,18340,2630.56,24.2,0.173,1,5.1,5.07,14.65,3.46,553,352,995,10.48,0.65,4.97,4.37
2023,South Africa,Healthcare,Enterprise,18340,2630.56,27.1,0.274,1,7.6,7.34,15.71,7.1,654,489,918,-1.59,1.3,5.29,6.77
2023,South Africa,Healthcare,Enterprise,18340,2630.56,15.92,0.291,1,7.81,0.59,0.0,0.43,164,529,1169,-3.88,1.82,5.62,3.33
2024,South Africa,Healthcare,Enterprise,18340,2630.56,49.44,0.441,1,12.31,8.19,16.12,5.51,585,1252,1219,10.95,5.67,5.22,4.49
2024,South Africa,Healthcare,Enterprise,18340,2630.56,28.18,0.25,1,8.11,0.26,14.09,7.29,411,586,188,-1.18,9.08,4.95,4.84
2024,South Africa,Healthcare,Enterprise,18340,2630.56,13.23,0.141,1,3.74,5.66,11.42,2.16,196,318,0,-2.72,0.0,5.18,5.25
2024,South Africa,Healthcare,Enterprise,18340,2630.56,54.8,0.516,1,14.33,21.47,23.59,7.16,1019,1079,2352,10.24,8.32,6.12,6.0
2025,South Africa,Healthcare,Enterprise,18340,2630.56,13.55,0.252,1,9.2,5.19,9.3,1.96,374,222,1051,1.57,3.46,5.66,4.27
2025,South Africa,Healthcare,Enterprise,18340,2630.56,44.77,0.451,1,9.9,11.31,23.89,7.74,988,911,1988,-3.92,10.06,6.32,4.83
2025,South Africa,Healthcare,Enterprise,18340,2630.56,35.82,0.34,1,11.74,11.62,11.57,4.05,360,737,1873,13.8,3.74,5.34,4.55
2025,South Africa,Healthcare,Enterprise,18340,2630.56,38.88,0.309,2,11.25,11.16,19.0,6.02,635,679,1102,-1.14,2.96,6.38,5.44
2026,South Africa,Healthcare,Enterprise,18340,2630.56,23.18,0.399,2,7.35,13.1,16.65,5.13,498,420,1464,9.09,0.63,5.41,4.34
2026,South Africa,Healthcare,Enterprise,18340,2630.56,30.69,0.3,2,6.13,5.63,24.58,6.47,689,641,1145,4.6,5.9,5.16,4.01
2026,South Africa,Healthcare,Enterprise,18340,2630.56,39.91,0.389,1,9.27,5.78,26.91,4.3,844,769,1376,-0.49,0.0,4.5,4.95
2023,India,Agriculture,SME,679,156.76,28.97,0.243,7,9.01,8.64,20.06,7.12,39,29,23,7.71,5.12,5.86,4.74
2023,India,Agriculture,SME,679,156.76,21.68,0.154,6,7.37,0.0,15.87,3.44,23,6,0,3.18,0.76,5.27,4.56
2023,India,Agriculture,SME,679,156.76,25.98,0.362,3,6.53,8.95,16.26,8.37,29,24,58,-0.07,5.69,4.86,5.74
2023,India,Agriculture,SME,679,156.76,40.61,0.397,2,7.74,19.62,21.54,4.16,46,36,49,5.49,2.1,5.97,6.1
2024,India,Agriculture,SME,679,156.76,31.02,0.31,8,11.61,4.83,12.02,3.49,17,22,1,10.05,5.85,5.76,4.21
2024,India,Agriculture,SME,679,156.76,39.83,0.411,7,7.71,17.04,16.47,5.7,36,31,34,4.55,0.0,6.11,8.17
2024,India,Agriculture,SME,679,156.76,23.87,0.333,6,4.44,6.92,17.2,5.31,21,22,33,2.6,5.68,4.66,6.53
2024,India,Agriculture,SME,679,156.76,38.59,0.428,2,9.33,18.56,27.13,6.81,44,28,30,13.11,2.49,5.3,7.07
2025,India,Agriculture,SME,679,156.76,33.36,0.388,3,8.9,9.27,20.82,6.55,31,32,55,-1.46,6.03,5.48,5.78
2025,India,Agriculture,SME,679,156.76,41.03,0.384,6,9.19,11.39,23.47,8.03,33,40,25,6.0,2.22,6.51,6.03
2025,India,Agriculture,SME,679,156.76,20.46,0.229,6,6.4,0.43,9.94,1.33,26,15,46,-4.22,0.71,5.57,5.04
2026,India,Agriculture,SME,679,156.76,33.12,0.392,9,12.12,1.46,11.42,2.8,22,27,45,2.75,3.84,5.84,4.54
2026,India,Agriculture,SME,679,156.76,28.32,0.251,4,7.03,7.11,16.13,5.39,30,17,4,-1.79,5.55,5.76,5.71
2026,India,Agriculture,SME,679,156.76,6.64,0.144,0,2.86,0.0,7.61,1.03,4,17,50,-2.68,3.65,5.21,2.99
2026,India,Agriculture,SME,679,156.76,41.14,0.362,7,5.53,11.55,24.48,5.89,48,26,41,10.61,4.8,5.72,6.47
2023,South Africa,Healthcare,Startup,17,42.61,12.65,0.034,2,1.73,0.39,5.51,2.57,0,0,0,-5.0,0.95,4.9,4.75
2023,South Africa,Healthcare,Startup,17,42.61,11.69,0.095,7,4.73,4.68,8.71,1.86,0,0,0,-3.8,0.0,5.33,4.43
2023,South Africa,Healthcare,Startup,17,42.61,15.74,0.206,4,3.23,0.0,16.17,5.84,1,0,2,5.62,4.18,5.69,3.93
2023,South Africa,Healthcare,Startup,17,42.61,0.02,0.0,0,0.0,2.31,3.18,0.0,0,0,0,4.23,0.0,4.04,5.99
2024,South Africa,Healthcare,Startup,17,42.61,22.95,0.171,6,6.74,4.04,13.47,3.89,1,0,1,1.33,2.21,5.44,4.01
2024,South Africa,Healthcare,Startup,17,42.61,27.08,0.278,2,7.59,2.44,15.19,6.74,1,1,1,-1.14,4.29,4.6,5.26
2024,South Africa,Healthcare,Startup,17,42.61,9.9,0.177,0,3.17,4.62,5.48,4.63,0,1,0,-1.27,4.7,5.07,3.83
2025,South Africa,Healthcare,Startup,17,42.61,31.83,0.111,6,7.7,5.03,11.79,6.02,0,0,0,7.96,0.0,4.02,5.19
2025,South Africa,Healthcare,Startup,17,42.61,38.04,0.286,9,5.12,7.22,17.5,3.92,1,1,1,0.65,0.0,5.8,8.58
2025,South Africa,Healthcare,Startup,17,42.61,7.64,0.103,0,5.68,0.0,3.8,2.64,0,0,1,5.0,1.39,3.56,4.63
2026,South Africa,Healthcare,Startup,17,42.61,3.51,0.046,0,3.43,0.0,0.0,2.38,0,0,0,-5.0,3.59,4.37,5.14
2026,South Africa,Healthcare,Startup,17,42.61,14.08,0.16,6,3.12,4.99,14.29,4.56,0,0,1,-0.29,0.58,5.75,5.42
2026,South Africa,Healthcare,Startup,17,42.61,15.87,0.144,9,5.46,3.26,13.53,6.59,0,0,0,0.35,0.0,5.38,3.66
2023,UK,Healthcare,Startup,42,27.58,25.13,0.247,3,5.57,2.27,10.4,2.58,1,1,2,-2.75,2.17,5.39,6.69
2023,UK,Healthcare,Startup,42,27.58,10.8,0.203,4,9.56,4.81,1.47,0.0,0,1,3,12.1,0.0,4.64,4.77
2023,UK,Healthcare,Startup,42,27.58,40.47,0.179,6,4.51,5.98,14.27,2.49,2,2,1,6.54,5.51,5.08,4.49
2024,UK,Healthcare,Startup,42,27.58,31.87,0.303,6,6.69,11.13,26.49,8.83,3,1,5,5.12,8.7,7.15,4.74
2024,UK,Healthcare,Startup,42,27.58,25.99,0.308,3,8.5,11.28,16.66,4.17,2,1,3,4.04,2.49,5.32,5.3
2024,UK,Healthcare,Startup,42,27.58,21.75,0.207,2,5.11,10.06,4.25,2.39,1,2,0,2.53,0.0,5.48,6.54
2024,UK,Healthcare,Startup,42,27.58,26.33,0.235,6,7.02,4.66,15.7,4.31,1,1,1,-5.0,2.86,4.53,5.69
2025,UK,Healthcare,Startup,42,27.58,22.79,0.151,8,5.42,6.53,14.31,6.92,1,2,2,-0.71,2.23,5.11,4.38
2025,UK,Healthcare,Startup,42,27.58,24.7,0.298,7,6.81,3.36,10.75,1.51,1,1,2,-5.0,2.15,5.41,4.33
2025,UK,Healthcare,Startup,42,27.58,7.74,0.081,0,2.62,2.92,2.96,1.0,0,0,0,6.89,0.0,5.33,3.29
2025,UK,Healthcare,Startup,42,27.58,37.89,0.361,3,11.25,3.94,23.6,3.97,1,2,2,5.2,4.29,5.62,5.96
2026,UK,Healthcare,Startup,42,27.58,29.21,0.4,9,10.02,8.15,2.85,2.98,1,2,2,5.61,2.74,4.98,3.76
2026,UK,Healthcare,Startup,42,27.58,22.22,0.193,3,6.13,5.6,14.81,1.67,2,1,0,2.72,3.33,5.85,4.36
2026,UK,Healthcare,Startup,42,27.58,46.76,0.482,10,14.14,5.61,14.65,4.56,2,2,3,13.16,8.34,6.98,4.81
2023,Italy,Healthcare,Startup,47,48.97,24.58,0.248,6,6.68,0.55,8.71,2.95,1,2,2,-1.53,0.0,5.43,3.63
2023,Italy,Healthcare,Startup,47,48.97,9.56,0.102,0,2.03,5.43,2.24,0.53,0,1,1,-3.92,0.0,5.38,6.02
2023,Italy,Healthcare,Startup,47,48.97,30.96,0.302,5,7.83,8.91,16.27,4.86,2,2,3,-2.41,5.06,5.62,4.62
2023,Italy,Healthcare,Startup,47,48.97,26.78,0.3,4,8.47,8.75,29.16,6.78,3,1,6,3.04,2.42,7.65,5.63
2024,Italy,Healthcare,Startup,47,48.97,26.97,0.215,4,7.16,4.14,33.59,8.03,3,2,1,5.66,6.39,5.1,6.06
2024,Italy,Healthcare,Startup,47,48.97,6.33,0.136,0,3.46,6.88,11.16,0.0,0,0,1,5.35,5.91,5.35,5.72
2024,Italy,Healthcare,Startup,47,48.97,16.43,0.101,6,2.25,0.0,10.74,1.93,1,1,0,-0.66,0.0,4.32,4.34
2024,Italy,Healthcare,Startup,47,48.97,35.63,0.261,2,6.67,12.38,23.54,5.3,2,2,3,5.52,2.28,4.59,7.1
2025,Italy,Healthcare,Startup,47,48.97,37.15,0.298,8,13.41,10.7,25.58,8.91,2,2,2,11.7,8.92,6.49,5.82
2025,Italy,Healthcare,Startup,47,48.97,1.44,0.049,0,1.2,5.24,0.0,0.68,0,1,1,-5.0,0.74,5.7,4.08
2025,Italy,Healthcare,Startup,47,48.97,25.54,0.114,8,3.66,0.78,14.78,5.57,1,2,1,-0.44,6.58,4.65,3.97
2025,Italy,Healthcare,Startup,47,48.97,21.29,0.235,8,7.43,6.24,7.52,2.31,0,1,3,3.31,4.97,5.99,5.41
2026,Italy,Healthcare,Startup,47,48.97,22.67,0.178,5,8.39,1.44,2.4,1.63,1,1,2,7.2,1.43,4.74,5.12
2026,Italy,Healthcare,Startup,47,48.97,22.23,0.206,6,5.57,0.0,9.35,5.55,1,1,1,2.84,2.91,4.61,5.23
2026,Italy,Healthcare,Startup,47,48.97,16.1,0.27,10,6.13,9.41,5.95,2.27,0,0,2,0.5,5.43,4.97,5.63
2026,Italy,Healthcare,Startup,47,48.97,40.07,0.309,4,5.48,2.58,12.38,3.55,0,2,3,3.23,0.0,5.32,4.97
2023,Thailand,Agriculture,SME,382,245.48,61.52,0.53,6,14.7,18.54,36.56,11.71,31,23,41,6.44,4.99,4.49,7.69
2023,Thailand,Agriculture,SME,382,245.48,69.86,0.626,2,15.38,16.82,37.11,12.5,28,30,43,12.73,0.59,5.87,6.62
2023,Thailand,Agriculture,SME,382,245.48,71.0,0.571,5,15.97,16.68,31.96,10.84,31,35,49,9.71,4.97,5.56,7.06
2024,Thailand,Agriculture,SME,382,245.48,49.91,0.531,5,15.52,9.21,15.23,6.01,10,26,24,5.32,3.25,6.9,3.86
2024,Thailand,Agriculture,SME,382,245.48,68.76,0.471,6,10.54,14.61,35.16,9.79,37,31,51,2.89,8.92,6.07,7.08
2024,Thailand,Agriculture,SME,382,245.48,63.15,0.55,2,15.67,18.76,19.89,6.44,19,26,49,16.06,0.63,5.48,6.82
2024,Thailand,Agriculture,SME,382,245.48,57.45,0.539,3,11.69,14.65,16.09,5.36,17,29,48,3.24,7.54,5.52,6.13
2025,Thailand,Agriculture,SME,382,245.48,76.79,0.584,4,12.64,17.82,42.73,13.4,35,32,43,9.37,14.16,5.97,5.16
2025,Thailand,Agriculture,SME,382,245.48,48.23,0.404,3,10.19,11.42,45.32,10.61,35,22,32,3.53,10.82,6.45,6.64
2025,Thailand,Agriculture,SME,382,245.48,60.21,0.51,8,12.29,11.42,19.52,3.6,13,25,23,10.02,4.99,6.59,6.01
2026,Thailand,Agriculture,SME,382,245.48,61.36,0.53,3,12.61,18.85,35.7,11.94,24,33,39,10.62,8.74,4.54,6.56
2026,Thailand,Agriculture,SME,382,245.48,64.35,0.585,5,12.91,19.59,32.71,11.03,30,27,37,-1.28,5.67,7.13,5.49
2026,Thailand,Agriculture,SME,382,245.48,48.52,0.41,8,10.85,11.88,31.88,8.71,28,19,28,7.56,8.53,6.28,4.33
2023,Germany,Technology,Enterprise,10151,8709.59,22.74,0.353,6,8.25,8.53,6.76,5.68,144,365,522,-5.0,0.0,5.58,4.82
